Student ID,Midterm,Practice,Final
18125001,7.00,8.00,7.00
18125005,8.00,9.00,9.00
18125006,6.00,8.00,9.00
18125007,9.00,8.00,7.00
18125008,5.00,10.00,9.00
18125010,6.00,8.00,9.00
18125011,8.00,6.00,10.00
18125013,7.00,5.00,8.00
18125014,9.00,8.00,7.00
18125015,5.00,9.00,6.00
17125013,8.00,6.00,9.00
17125014,9.00,8.00,9.00
17125015,9.00,7.00,7.00
17125016,8.00,9.00,6.00
17125017,7.00,10.00,9.00
17125023,6.00,7.00,8.00
17125025,7.00,9.00,5.00
17125033,9.00,7.00,5.00
17125035,9.00,6.00,7.00
17125037,9.00,9.00,8.00
